STNAME,CTYNAME,CENSUS2010POP,POPESTIMATE2019,BIRTHS2019,DEATHS2019
Michigan,Branch County,45248,43517,515,419
Michigan,Calhoun County,136146,134159,1497,1395
Michigan,Cass County,52293,51787,496,529
Michigan,Charlevoix County,25949,26143,218,292
Michigan,Cheboygan County,26152,25276,219,370
Michigan,Chippewa County,38520,37349,318,374
Michigan,Clare County,30926,30950,324,400
Michigan,Clinton County,75382,79595,780,594
Michigan,Crawford County,14074,14029,132,169
Michigan,Delta County,37069,35784,342,434
Michigan,Dickinson County,26168,25239,238,305
Michigan,Eaton County,107759,110268,1065,1003
Michigan,Emmet County,32694,33415,288,310
Michigan,Genesee County,425790,405813,4600,4557
Michigan,Gladwin County,25692,25449,240,374
Michigan,Gogebic County,16427,13975,128,210
Michigan,Grand Traverse County,86986,93088,902,867
Michigan,Gratiot County,42476,40711,366,423
Michigan,Hillsdale County,46688,45605,509,480
Michigan,Houghton County,36628,35684,358,348
Michigan,Huron County,33118,30981,310,445
Michigan,Ingham County,280895,292406,3181,2246
Michigan,Ionia County,63905,64697,707,550
Michigan,Iosco County,25887,25127,233,385
Michigan,Iron County,11817,11066,93,178
Michigan,Isabella County,70311,69872,660,460
Michigan,Jackson County,160248,158510,1743,1623
Michigan,Kalamazoo County,250331,265066,3010,2209
Michigan,Kalkaska County,17153,18038,171,173
Michigan,Kent County,602622,656955,8637,4816
Michigan,Keweenaw County,2156,2116,10,23
Michigan,Lake County,11539,11853,115,162
Michigan,Lapeer County,88319,87607,753,892
Michigan,Leelanau County,21708,21761,175,222
Michigan,Lenawee County,99892,98451,952,1007
Michigan,Livingston County,180967,191995,1760,1607
Michigan,Luce County,6631,6229,60,83
Michigan,Mackinac County,11113,10799,88,138
Michigan,Macomb County,840978,873972,9132,8548
Michigan,Manistee County,24733,24558,216,308
Michigan,Marquette County,67077,66699,570,679
Michigan,Mason County,28705,29144,285,306
Michigan,Mecosta County,42798,43453,396,357
Michigan,Menominee County,24029,22780,166,233
Michigan,Midland County,83629,83156,855,743
Michigan,Missaukee County,14849,15118,189,160
Michigan,Monroe County,152021,150500,1459,1481
Michigan,Montcalm County,63342,63888,728,613
Michigan,Montmorency County,9765,9328,62,166
Michigan,Muskegon County,172188,173566,2071,1770
Michigan,Newaygo County,48460,48980,539,532
Michigan,Oakland County,1202362,1257584,13042,10978
Michigan,Oceana County,26570,26467,256,267
Michigan,Ogemaw County,21699,20997,192,281
Michigan,Ontonagon County,6780,5720,28,106
Michigan,Osceola County,23528,23460,265,251
Michigan,Oscoda County,8640,8241,71,114
Michigan,Otsego County,24164,24668,253,286
Michigan,Ottawa County,263801,291830,3267,1968
Michigan,Presque Isle County,13376,12592,100,181
Michigan,Roscommon County,24449,24019,161,376
Michigan,Saginaw County,200169,190539,2188,2138
Michigan,St. Clair County,163040,159128,1426,1741
Michigan,St. Joseph County,61295,60964,726,582
Michigan,Sanilac County,43114,41170,426,491
Michigan,Schoolcraft County,8485,8094,64,108
Michigan,Shiawassee County,70648,68122,676,734
Michigan,Tuscola County,55729,52245,536,650
Michigan,Van Buren County,76258,75677,865,802
Michigan,Washtenaw County,344791,367601,3473,2448
Michigan,Wayne County,1820584,1749343,22766,18385
Michigan,Wexford County,32735,33631,362,341
Minnesota,Minnesota,5303925,5639632,67642,43200
Minnesota,Aitkin County,16202,15886,124,207
Minnesota,Anoka County,330844,356921,4218,2166
Minnesota,Becker County,32504,34423,413,373
Minnesota,Beltrami County,44442,47188,638,433
Minnesota,Benton County,38451,40889,538,330
Minnesota,Big Stone County,5269,4991,70,70
Minnesota,Blue Earth County,64013,67653,715,470
Minnesota,Brown County,25893,25008,276,275
Minnesota,Carlton County,35386,35871,368,368
Minnesota,Carver County,91042,105089,1157,549
Minnesota,Cass County,28567,29779,284,329
Minnesota,Chippewa County,12441,11800,164,138
Minnesota,Chisago County,53887,56579,600,401
Minnesota,Clay County,58999,64222,851,453
Minnesota,Clearwater County,8695,8818,110,74
Minnesota,Cook County,5176,5463,46,40
Minnesota,Cottonwood County,11687,11196,144,134
Minnesota,Crow Wing County,62500,65055,648,687
Minnesota,Dakota County,398552,429021,5108,2688
Minnesota,Dodge County,20087,20934,242,146
Minnesota,Douglas County,36009,38141,424,430
Minnesota,Faribault County,14553,13653,146,158
Minnesota,Fillmore County,20866,21067,256,237
Minnesota,Freeborn County,31255,30281,314,352
Minnesota,Goodhue County,46183,46340,503,454
Minnesota,Grant County,6018,5972,56,59
Minnesota,Hennepin County,1152425,1265843,16008,8750
Minnesota,Houston County,19027,18600,204,196
Minnesota,Hubbard County,20428,21491,216,199
Minnesota,Isanti County,37816,40596,448,327
Minnesota,Itasca County,45058,45130,441,502
Minnesota,Jackson County,10266,9846,98,109
Minnesota,Kanabec County,16239,16337,180,142
Minnesota,Kandiyohi County,42239,43199,568,370
Minnesota,Kittson County,4552,4298,66,52
Minnesota,Koochiching County,13311,12229,96,149
Minnesota,Lac qui Parle County,7259,6623,58,98
Minnesota,Lake County,10866,10641,105,134
Minnesota,Lake of the Woods County,4045,3740,31,40
Minnesota,Le Sueur County,27703,28887,343,222
Minnesota,Lincoln County,5896,5639,70,75
Minnesota,Lyon County,25857,25474,343,228
Minnesota,McLeod County,36651,35893,372,325
Minnesota,Mahnomen County,5413,5527,90,60
Minnesota,Marshall County,9439,9336,106,86
Minnesota,Martin County,20840,19683,234,224
Minnesota,Meeker County,23300,23222,268,216
Minnesota,Mille Lacs County,26097,26277,319,268
Minnesota,Morrison County,33198,33386,345,367
Minnesota,Mower County,39163,40062,535,370
Minnesota,Murray County,8725,8194,88,86
Minnesota,Nicollet County,32727,34274,353,259
Minnesota,Nobles County,21378,21629,382,186
Minnesota,Norman County,6852,6375,81,90
Minnesota,Olmsted County,144248,158293,2080,1102
Minnesota,Otter Tail County,57303,58746,648,684
Minnesota,Pennington County,13930,14119,164,129
Minnesota,Pine County,29750,29579,251,278
Minnesota,Pipestone County,9596,9126,132,112
Minnesota,Polk County,31600,31364,421,344
Minnesota,Pope County,10995,11249,121,122
Minnesota,Ramsey County,508640,550321,7591,4234
Minnesota,Red Lake County,4089,4055,42,29
Minnesota,Redwood County,16059,15170,192,159
Minnesota,Renville County,15730,14548,188,167
Minnesota,Rice County,64142,66972,743,490
Minnesota,Rock County,9687,9315,104,94
Minnesota,Roseau County,15629,15165,168,123
Minnesota,St. Louis County,200226,199070,1876,2084
Minnesota,Scott County,129928,149013,1765,677
Minnesota,Sherburne County,88499,97238,1217,533
Minnesota,Sibley County,15226,14865,167,131
Minnesota,Stearns County,150642,161075,2039,1044
Minnesota,Steele County,36576,36649,391,308
Minnesota,Stevens County,9726,9805,131,78
Minnesota,Swift County,9783,9266,112,98
Minnesota,Todd County,24895,24664,321,204
Minnesota,Traverse County,3558,3259,37,38
Minnesota,Wabasha County,21676,21627,235,186
Minnesota,Wadena County,13843,13682,186,177
Minnesota,Waseca County,19136,18612,204,149
Minnesota,Washington County,238136,262440,2722,1712
Minnesota,Watonwan County,11211,10897,162,113
Minnesota,Wilkin County,6576,6207,73,83
Minnesota,Winona County,51461,50484,456,440
Minnesota,Wright County,124700,138377,1734,832
Minnesota,Yellow Medicine County,10438,9709,108,95
Mississippi,Mississippi,2967297,2976149,35978,31536
Mississippi,Adams County,32297,30693,340,429
Mississippi,Alcorn County,37057,36953,411,457
Mississippi,Amite County,13131,12297,125,145
Mississippi,Attala County,19564,18174,221,233
Mississippi,Benton County,8729,8259,88,92
Mississippi,Bolivar County,34145,30628,405,398
Mississippi,Calhoun County,14962,14361,165,167
Mississippi,Carroll County,10597,9947,84,101
Mississippi,Chickasaw County,17392,17103,231,200
Mississippi,Choctaw County,8547,8210,80,106
Mississippi,Claiborne County,9604,8988,113,101
Mississippi,Clarke County,16732,15541,199,202
Mississippi,Clay County,20634,19316,209,230
Mississippi,Coahoma County,26151,22124,355,282
Mississippi,Copiah County,29449,28065,339,309
Mississippi,Covington County,19568,18636,237,232
Mississippi,DeSoto County,161252,184945,2121,1427
Mississippi,Forrest County,74934,74897,1000,764
Mississippi,Franklin County,8118,7713,84,88
Mississippi,George County,22578,24500,347,249
Mississippi,Greene County,14400,13586,143,126
Mississippi,Grenada County,21906,20758,247,288
Mississippi,Hancock County,43929,47632,453,473
Mississippi,Harrison County,187105,208080,2597,2013
Mississippi,Hinds County,245285,231840,2953,2122
Mississippi,Holmes County,19198,17010,219,221
Mississippi,Humphreys County,9375,8064,94,109
Mississippi,Issaquena County,1406,1327,10,15
Mississippi,Itawamba County,23401,23390,257,254
Mississippi,Jackson County,139668,143617,1588,1430
Mississippi,Jasper County,17062,16383,182,186
Mississippi,Jefferson County,7726,6990,81,80
Mississippi,Jefferson Davis County,12487,11128,124,159
Mississippi,Jones County,67761,68098,883,813
Mississippi,Kemper County,10456,9742,90,113
Mississippi,Lafayette County,47351,54019,513,395
Mississippi,Lamar County,55658,63343,793,438
Mississippi,Lauderdale County,80261,74125,910,861
Mississippi,Lawrence County,12929,12586,145,150
Mississippi,Leake County,23805,22786,299,274
Mississippi,Lee County,82910,85436,1121,965
Mississippi,Leflore County,32317,28183,412,363
Mississippi,Lincoln County,34869,34153,413,403
Mississippi,Lowndes County,59779,58595,774,610
Mississippi,Madison County,95203,106272,1267,1107
Mississippi,Marion County,27088,24573,278,307
Mississippi,Marshall County,37144,35294,393,446
Mississippi,Monroe County,36989,35252,387,413
Mississippi,Montgomery County,10925,9775,120,151
Mississippi,Neshoba County,29676,29118,435,377
Mississippi,Newton County,21720,21018,284,271
Mississippi,Noxubee County,11545,10417,161,128
Mississippi,Oktibbeha County,47671,49587,548,366
Mississippi,Panola County,34707,34192,487,411
Mississippi,Pearl River County,55834,55535,610,681
Mississippi,Perry County,12250,11973,128,115
Mississippi,Pike County,40404,39288,540,531
Mississippi,Pontotoc County,29957,32174,434,282
Mississippi,Prentiss County,25276,25126,289,280
Mississippi,Quitman County,8223,6792,80,110
Mississippi,Rankin County,141617,155271,1696,1261
Mississippi,Scott County,28264,28124,451,312
Mississippi,Sharkey County,4916,4321,65,50
Mississippi,Simpson County,27503,26658,305,313
Mississippi,Smith County,16491,15916,186,180
Mississippi,Stone County,17786,18336,204,168
Mississippi,Sunflower County,29450,25110,275,307
Mississippi,Tallahatchie County,15378,13809,162,162
Mississippi,Tate County,28886,28321,347,320
Mississippi,Tippah County,22232,22015,262,243
Mississippi,Tishomingo County,19593,19383,195,283
Mississippi,Tunica County,10778,9632,169,102
Mississippi,Union County,27134,28815,355,284
Mississippi,Walthall County,15443,14286,165,193
Mississippi,Warren County,48773,45381,576,518
Mississippi,Washington County,51137,43909,565,608
Mississippi,Wayne County,20747,20183,257,217
Mississippi,Webster County,10253,9689,112,151
Mississippi,Wilkinson County,9878,8630,88,122
Mississippi,Winston County,19198,17955,190,250
Mississippi,Yalobusha County,12678,12108,145,165
Mississippi,Yazoo County,28065,29690,312,278
Missouri,Missouri,5988927,6137428,71297,60141
Missouri,Adair County,25607,25343,267,193
Missouri,Andrew County,17291,17712,190,161
Missouri,Atchison County,5685,5143,41,72
Missouri,Audrain County,25529,25388,309,272
Missouri,Barry County,35597,35789,410,403
Missouri,Barton County,12402,11754,133,114
Missouri,Bates County,17049,16172,181,171
Missouri,Benton County,19056,19443,174,305
Missouri,Bollinger County,12363,12133,127,138
Missouri,Boone County,162642,180463,2015,1156
Missouri,Buchanan County,89201,87364,1068,893
Missouri,Butler County,42794,42478,498,566
Missouri,Caldwell County,9424,9020,91,100
Missouri,Callaway County,44332,44743,470,436
Missouri,Camden County,44002,46305,381,535
Missouri,Cape Girardeau County,75674,78871,899,738
Missouri,Carroll County,9295,8679,84,114
Missouri,Carter County,6265,5982,72,89
Missouri,Cass County,99478,105780,1128,993
Missouri,Cedar County,13982,14349,186,207
Missouri,Chariton County,7831,7426,82,98
Missouri,Christian County,77422,88595,1025,664
Missouri,Clark County,7139,6797,72,67
Missouri,Clay County,221939,249948,3051,1803
Missouri,Clinton County,20743,20387,219,238
Missouri,Cole County,75990,76745,863,684
Missouri,Cooper County,17601,17709,202,184
Missouri,Crawford County,24696,23920,250,296
Missouri,Dade County,7883,7561,66,109
Missouri,Dallas County,16777,16878,213,207
Missouri,Daviess County,8433,8278,117,80
Missouri,DeKalb County,12892,12547,98,114
Missouri,Dent County,15657,15573,174,184
Missouri,Douglas County,13684,13185,155,180
Missouri,Dunklin County,31953,29131,357,447
Missouri,Franklin County,101492,103967,1186,1047
Missouri,Gasconade County,15222,14706,152,197
Missouri,Gentry County,6738,6571,83,90
Missouri,Greene County,275174,293086,3269,2773
Missouri,Grundy County,10261,9850,151,118
Missouri,Harrison County,8957,8352,86,114
Missouri,Henry County,22272,21824,236,290
Missouri,Hickory County,9627,9544,87,137
Missouri,Holt County,4912,4403,43,57
Missouri,Howard County,10144,10001,107,87
Missouri,Howell County,40400,40117,504,508
Missouri,Iron County,10630,10125,98,152
Missouri,Jackson County,674158,703011,8996,6497
Missouri,Jasper County,117404,121328,1543,1192
Missouri,Jefferson County,218733,225081,2464,2150
Missouri,Johnson County,52595,54062,686,378
Missouri,Knox County,4131,3959,52,51
Missouri,Laclede County,35571,35723,474,396
Missouri,Lafayette County,33381,32708,356,371
Missouri,Lawrence County,38634,38355,502,461
Missouri,Lewis County,10211,9776,125,103
Missouri,Lincoln County,52566,59013,790,467
Missouri,Linn County,12761,11920,124,163
Missouri,Livingston County,15195,15227,153,165
Missouri,McDonald County,23083,22837,364,220
Missouri,Macon County,15566,15117,182,193
Missouri,Madison County,12226,12088,135,177
Missouri,Maries County,9176,8697,76,91
Missouri,Marion County,28781,28530,346,310
Missouri,Mercer County,3785,3617,48,42
Missouri,Miller County,24748,25619,301,276
Missouri,Mississippi County,14358,13180,141,190
Missouri,Moniteau County,15607,16132,205,165
Missouri,Monroe County,8840,8644,87,92
Missouri,Montgomery County,12236,11551,127,140
Missouri,Morgan County,20565,20627,271,289
Missouri,New Madrid County,18956,17076,204,242
Missouri,Newton County,58114,58236,692,619
Missouri,Nodaway County,23370,22092,195,186
Missouri,Oregon County,10881,10529,111,146
Missouri,Osage County,13878,13615,142,131
Missouri,Ozark County,9723,9174,80,131
Missouri,Pemiscot County,18296,15805,224,236
Missouri,Perry County,18971,19136,222,222
Missouri,Pettis County,42201,42339,577,424
Missouri,Phelps County,45156,44573,461,421
Missouri,Pike County,18516,18302,206,189
Missouri,Platte County,89322,104418,1191,693
Missouri,Polk County,31137,32149,399,388
Missouri,Pulaski County,52274,52607,676,297
Missouri,Putnam County,4979,4696,55,55
Missouri,Ralls County,10167,10309,101,76
Missouri,Randolph County,25414,24748,292,239
Missouri,Ray County,23494,23018,262,279
Missouri,Reynolds County,6696,6270,64,91
Missouri,Ripley County,14100,13288,137,204
Missouri,St. Charles County,360485,402022,4289,2988
Missouri,St. Clair County,9805,9397,92,134
Missouri,Ste. Genevieve County,18145,17894,204,199
Missouri,St. Francois County,65359,67215,693,774
Missouri,St. Louis County,998954,994205,11089,10264
Missouri,Saline County,23370,22761,240,241
Missouri,Schuyler County,4431,4660,76,49
Missouri,Scotland County,4843,4902,73,40
Missouri,Scott County,39191,38280,482,454
Missouri,Shannon County,8441,8166,92,81
Missouri,Shelby County,6373,5930,76,51
Missouri,Stoddard County,29968,29025,328,388
Missouri,Stone County,32202,31952,253,403
Missouri,Sullivan County,6714,6089,86,71
Missouri,Taney County,51675,55928,615,555
Missouri,Texas County,26008,25398,268,290
Missouri,Vernon County,21159,20563,242,227
Missouri,Warren County,32513,35649,416,313
Missouri,Washington County,25195,24730,274,271
Missouri,Wayne County,13521,12873,124,201
Missouri,Webster County,36202,39592,572,378
Missouri,Worth County,2171,2013,23,18
Missouri,Wright County,18815,18289,243,243
Missouri,St. Louis city,319294,300576,3938,3079
Montana,Montana,989415,1068778,11618,9870
Montana,Beaverhead County,9246,9453,77,99
Montana,Big Horn County,12865,13319,244,132
Montana,Blaine County,6491,6681,81,63
Montana,Broadwater County,5612,6237,60,51
Montana,Carbon County,10078,10725,73,86
Montana,Carter County,1160,1252,19,15
Montana,Cascade County,81327,81366,1054,785
Montana,Chouteau County,5813,5635,44,64
Montana,Custer County,11699,11402,126,148
Montana,Daniels County,1751,1690,17,14
Montana,Dawson County,8966,8613,73,83
Montana,Deer Lodge County,9298,9140,69,120
Montana,Fallon County,2890,2846,37,26
Montana,Fergus County,11586,11050,104,130
Montana,Flathead County,90928,103806,1113,917
Montana,Gallatin County,89513,114434,1262,612
Montana,Garfield County,1206,1258,14,12
Montana,Glacier County,13399,13753,238,142
Montana,Golden Valley County,884,821,12,5
Montana,Granite County,3079,3379,16,34
Montana,Hill County,16096,16484,289,161
Montana,Jefferson County,11406,12221,105,138
Montana,Judith Basin County,2072,2007,12,14
Montana,Lake County,28746,30458,317,331
Montana,Lewis and Clark County,63395,69432,742,653
Montana,Liberty County,2339,2337,16,20
Montana,Lincoln County,19687,19980,158,282
Montana,McCone County,1734,1664,16,15
Montana,Madison County,7691,8600,53,78
Montana,Meagher County,1891,1862,12,17
Montana,Mineral County,4223,4397,37,56
Montana,Missoula County,109299,119600,1131,887
Montana,Musselshell County,4538,4633,41,70
Montana,Park County,15636,16606,154,166
Montana,Petroleum County,494,487,2,8
Montana,Phillips County,4253,3954,42,47
Montana,Pondera County,6153,5911,77,56
Montana,Powder River County,1743,1682,21,17
Montana,Powell County,7027,6890,57,84
Montana,Prairie County,1179,1077,12,7
Montana,Ravalli County,40212,43806,370,484
Montana,Richland County,9746,10803,125,81
Montana,Roosevelt County,10425,11004,205,170
Montana,Rosebud County,9233,8937,137,98
Montana,Sanders County,11413,12113,112,128
Montana,Sheridan County,3384,3309,41,49
Montana,Silver Bow County,34200,34915,364,419
Montana,Stillwater County,9117,9642,77,82
Montana,Sweet Grass County,3651,3737,34,33
Montana,Teton County,6073,6147,77,61
Montana,Toole County,5324,4736,63,44
Montana,Treasure County,718,696,8,2
Montana,Valley County,7369,7396,85,58
Montana,Wheatland County,2168,2126,26,21
Montana,Wibaux County,1017,969,10,10
Montana,Yellowstone County,147972,161300,1857,1485
Nebraska,Nebraska,1826341,1934408,25343,15582
Nebraska,Adams County,31364,31363,391,316
Nebraska,Antelope County,6685,6298,80,59
Nebraska,Arthur County,460,463,3,3
Nebraska,Banner County,690,745,9,3
Nebraska,Blaine County,478,465,6,4
Nebraska,Boone County,5505,5192,56,62
Nebraska,Box Butte County,11308,10783,124,97
Nebraska,Boyd County,2099,1919,14,19
Nebraska,Brown County,3145,2955,27,32
Nebraska,Buffalo County,46102,49659,632,369
Nebraska,Burt County,6858,6459,64,98
Nebraska,Butler County,8395,8016,87,85
Nebraska,Cass County,25241,26248,267,232
Nebraska,Cedar County,8852,8402,103,93
Nebraska,Chase County,3966,3924,45,53
Nebraska,Cherry County,5713,5689,77,57
Nebraska,Cheyenne County,9998,8910,86,84
Nebraska,Clay County,6542,6203,80,69
Nebraska,Colfax County,10515,10709,193,72
Nebraska,Cuming County,9139,8846,105,83
Nebraska,Custer County,10939,10777,125,128
Nebraska,Dakota County,21006,20026,361,129
Nebraska,Dawes County,9182,8589,77,81
Nebraska,Dawson County,24326,23595,404,196
Nebraska,Deuel County,1941,1794,13,15
Nebraska,Dixon County,6000,5636,76,55
Nebraska,Dodge County,36691,36565,454,400
Nebraska,Douglas County,517110,571327,8236,3996
Nebraska,Dundy County,2008,1693,16,24
Nebraska,Fillmore County,5890,5462,65,66
Nebraska,Franklin County,3225,2979,35,27
Nebraska,Frontier County,2756,2627,24,15
Nebraska,Furnas County,4959,4676,56,55
Nebraska,Gage County,22311,21513,228,255
Nebraska,Garden County,2057,1837,19,18
Nebraska,Garfield County,2049,1969,18,29
Nebraska,Gosper County,2044,1990,20,18
Nebraska,Grant County,614,623,10,4
Nebraska,Greeley County,2538,2356,29,23
Nebraska,Hall County,58607,61353,953,523
Nebraska,Hamilton County,9124,9324,106,84
Nebraska,Harlan County,3423,3380,31,39
Nebraska,Hayes County,967,922,20,5
Nebraska,Hitchcock County,2908,2762,20,37
Nebraska,Holt County,10435,10067,139,120
Nebraska,Hooker County,736,682,6,7
Nebraska,Howard County,6274,6445,72,59
Nebraska,Jefferson County,7547,7046,73,82
Nebraska,Johnson County,5217,5071,41,57
Nebraska,Kearney County,6489,6495,80,62
Nebraska,Keith County,8368,8034,85,82
Nebraska,Keya Paha County,824,806,6,8
Nebraska,Kimball County,3821,3632,34,43
Nebraska,Knox County,8701,8332,100,99
Nebraska,Lancaster County,285407,319090,3883,2145
Nebraska,Lincoln County,36288,34914,414,346
Nebraska,Logan County,763,748,6,8
Nebraska,Loup County,632,664,8,6
Nebraska,McPherson County,539,494,3,2
Nebraska,Madison County,34876,35099,497,369
Nebraska,Merrick County,7845,7755,86,81
Nebraska,Morrill County,5042,4642,45,42
Nebraska,Nance County,3735,3519,37,28
Nebraska,Nemaha County,7248,6972,101,67
Nebraska,Nuckolls County,4500,4148,43,61
Nebraska,Otoe County,15740,16012,192,154
Nebraska,Pawnee County,2773,2613,33,31
Nebraska,Perkins County,2970,2891,33,26
Nebraska,Phelps County,9188,9034,116,92
Nebraska,Pierce County,7266,7148,87,67
Nebraska,Platte County,32237,33470,461,281
Nebraska,Polk County,5406,5213,61,63
Nebraska,Red Willow County,11055,10724,135,123
Nebraska,Richardson County,8363,7865,90,118
Nebraska,Rock County,1526,1357,13,14
Nebraska,Saline County,14200,14224,190,131
Nebraska,Sarpy County,158840,187196,2490,1069
Nebraska,Saunders County,20780,21578,247,202
Nebraska,Scotts Bluff County,36970,35618,454,388
Nebraska,Seward County,16750,17284,194,162
Nebraska,Sheridan County,5469,5246,57,63
Nebraska,Sherman County,3152,3001,37,38
Nebraska,Sioux County,1311,1166,12,3
Nebraska,Stanton County,6129,5920,68,38
Nebraska,Thayer County,5228,5003,47,73
Nebraska,Thomas County,647,722,6,0
Nebraska,Thurston County,6940,7224,152,83
Nebraska,Valley County,4260,4158,46,46
Nebraska,Washington County,20234,20729,207,176
Nebraska,Wayne County,9595,9385,95,68
Nebraska,Webster County,3812,3487,39,47
Nebraska,Wheeler County,818,783,7,5
Nebraska,York County,13665,13679,170,135
Nevada,Nevada,2700551,3080156,35932,25610
Nevada,Churchill County,24877,24909,327,260
Nevada,Clark County,1951269,2266715,27048,17919
Nevada,Douglas County,46997,48905,287,549
Nevada,Elko County,48818,52778,775,371
Nevada,Esmeralda County,783,873,6,7
Nevada,Eureka County,1987,2029,12,10
Nevada,Humboldt County,16528,16831,221,112
Nevada,Lander County,5775,5532,76,37
Nevada,Lincoln County,5345,5183,55,62
Nevada,Lyon County,51980,57510,664,619
Nevada,Mineral County,4772,4505,57,100
Nevada,Nye County,43946,46523,379,735
Nevada,Pershing County,6753,6725,53,43
Nevada,Storey County,4010,4123,11,21
Nevada,Washoe County,421407,471519,5259,4032
Nevada,White Pine County,10030,9580,104,96
Nevada,Carson City,55274,55916,598,637
New Hampshire,New Hampshire,1316470,1359711,12004,12125
New Hampshire,Belknap County,60088,61303,478,775
New Hampshire,Carroll County,47818,48910,325,582
New Hampshire,Cheshire County,77117,76085,636,718
New Hampshire,Coos County,33055,31563,225,419
New Hampshire,Grafton County,89118,89886,681,830
New Hampshire,Hillsborough County,400721,417025,4148,3390
New Hampshire,Merrimack County,146445,151391,1305,1388
New Hampshire,Rockingham County,295223,309769,2663,2519
New Hampshire,Strafford County,123143,130633,1163,1072
New Hampshire,Sullivan County,43742,43146,380,432
New Jersey,New Jersey,8791894,8882190,99501,75723
New Jersey,Atlantic County,274549,263670,2718,2793
New Jersey,Bergen County,905116,932202,9153,7248
New Jersey,Burlington County,448734,445349,4333,4022
New Jersey,Camden County,513657,506471,5923,4741
New Jersey,Cape May County,97265,92039,734,1299
New Jersey,Cumberland County,156898,149527,1757,1435
New Jersey,Essex County,783969,798975,10165,6457
New Jersey,Gloucester County,288288,291636,2841,2694
New Jersey,Hudson County,634266,672391,10019,4371
New Jersey,Hunterdon County,128349,124371,972,1009
New Jersey,Mercer County,366513,367430,4021,2987
New Jersey,Middlesex County,809858,825062,8907,6284
New Jersey,Monmouth County,630380,618795,5644,5867
New Jersey,Morris County,492276,491845,4568,3857
New Jersey,Ocean County,576567,607186,8555,7091
New Jersey,Passaic County,501226,501826,6602,3769
New Jersey,Salem County,66083,62385,684,756
New Jersey,Somerset County,323444,328934,3033,2613
New Jersey,Sussex County,149265,140488,1207,1266
New Jersey,Union County,536499,556341,6738,4195
New Jersey,Warren County,108692,105267,927,969
New Mexico,New Mexico,2059179,2096829,23125,18388
New Mexico,Bernalillo County,662564,679121,7130,5949
New Mexico,Catron County,3725,3527,10,28
New Mexico,Chaves County,65645,64615,819,635
New Mexico,Cibola County,27213,26675,306,263
New Mexico,Colfax County,13750,11941,110,124
New Mexico,Curry County,48376,48954,824,378
New Mexico,De Baca County,2022,1748,13,16
New Mexico,Doña Ana County,209233,218195,2630,1615
New Mexico,Eddy County,53829,58460,805,550
New Mexico,Grant County,29514,26998,256,325
New Mexico,Guadalupe County,4687,4300,41,43
New Mexico,Harding County,695,625,2,9
New Mexico,Hidalgo County,4894,4198,41,51
New Mexico,Lea County,64727,71070,1086,507
New Mexico,Lincoln County,20497,19572,174,207
New Mexico,Los Alamos County,17950,19369,173,111
New Mexico,Luna County,25095,23709,346,281
New Mexico,McKinley County,71492,71367,817,642
New Mexico,Mora County,4881,4521,30,37
New Mexico,Otero County,63797,67490,934,615
New Mexico,Quay County,9041,8253,90,95
New Mexico,Rio Arriba County,40246,38921,417,459
New Mexico,Roosevelt County,19846,18500,253,145
New Mexico,Sandoval County,131561,146748,1405,1145
New Mexico,San Juan County,130044,123958,1410,1109
New Mexico,San Miguel County,29393,27277,247,271
New Mexico,Santa Fe County,144170,150358,1189,1191
New Mexico,Sierra County,11988,10791,98,236
New Mexico,Socorro County,17866,16637,175,148
New Mexico,Taos County,32937,32723,271,317
New Mexico,Torrance County,16383,15461,153,150
New Mexico,Union County,4549,4059,38,37
New Mexico,Valencia County,76569,76688,832,699
New York,New York,19378102,19453561,222924,164817
New York,Albany County,304204,305506,3024,2776
New York,Allegany County,48946,46091,445,460
New York,Bronx County,1385108,1418207,19674,11145
New York,Broome County,200600,190488,1920,2113
New York,Cattaraugus County,80317,76117,801,848
New York,Cayuga County,80026,76576,741,711
New York,Chautauqua County,134905,126903,1282,1398
New York,Chemung County,88830,83456,859,943
New York,Chenango County,50477,47207,470,535
New York,Clinton County,82128,80485,756,744
New York,Columbia County,63096,59461,489,676
New York,Cortland County,49336,47581,472,422
New York,Delaware County,47980,44135,345,571
New York,Dutchess County,297488,294218,2584,2765
New York,Erie County,919040,918702,9756,9765
New York,Essex County,39370,36885,308,413
New York,Franklin County,51599,50022,444,524
New York,Fulton County,55531,53383,517,565
New York,Genesee County,60079,57280,542,630
New York,Greene County,49221,47188,384,540
New York,Hamilton County,4836,4416,28,63
New York,Herkimer County,64519,61319,560,659
New York,Jefferson County,116229,109834,1913,919
New York,Kings County,2504700,2559903,37786,18218
New York,Lewis County,27087,26296,322,271
New York,Livingston County,65393,62914,478,552
New York,Madison County,73442,70941,668,628
New York,Monroe County,744344,741770,7762,6693
New York,Montgomery County,50219,49221,613,533
New York,Nassau County,1339532,1356924,14001,11312
New York,New York County,1585873,1628706,16968,12171
New York,Niagara County,216469,209281,2067,2382
New York,Oneida County,234878,228671,2482,2490
New York,Onondaga County,467026,460528,4952,4214
New York,Ontario County,107931,109777,979,1079
New York,Orange County,372813,384940,5043,2884
New York,Orleans County,42883,40352,389,418
New York,Oswego County,122109,117124,1207,1090
New York,Otsego County,62259,59493,485,648
New York,Putnam County,99710,98320,800,784
New York,Queens County,2230722,2253858,27453,16380
New York,Rensselaer County,159429,158714,1548,1610
New York,Richmond County,468730,476143,5322,4147
