STNAME,CTYNAME,CENSUS2010POP,POPESTIMATE2019,BIRTHS2019,DEATHS2019
California,Ventura County,823318,846006,9161,6241
California,Yolo County,200849,220500,2215,1386
California,Yuba County,72155,78668,1149,583
Colorado,Colorado,5029196,5758736,64524,39116
Colorado,Adams County,441603,517421,6777,3208
Colorado,Alamosa County,15445,16233,198,115
Colorado,Arapahoe County,572003,656590,7605,4149
Colorado,Archuleta County,12084,14029,127,93
Colorado,Baca County,3788,3581,37,46
Colorado,Bent County,6499,5577,36,57
Colorado,Boulder County,294567,326196,2609,1935
Colorado,Broomfield County,55889,70465,651,413
Colorado,Chaffee County,17809,20356,131,175
Colorado,Cheyenne County,1836,1831,17,13
Colorado,Clear Creek County,9088,9700,73,57
Colorado,Conejos County,8256,8205,86,73
Colorado,Costilla County,3524,3887,37,34
Colorado,Crowley County,5823,6061,30,35
Colorado,Custer County,4255,5068,33,40
Colorado,Delta County,30952,31162,283,394
Colorado,Denver County,600158,727211,9372,4995
Colorado,Dolores County,2064,2055,11,10
Colorado,Douglas County,285465,351154,3472,1493
Colorado,Eagle County,52197,55127,559,129
Colorado,Elbert County,23086,26729,196,148
Colorado,El Paso County,622263,720403,9512,4845
Colorado,Fremont County,46824,47839,381,564
Colorado,Garfield County,56389,60061,781,380
Colorado,Gilpin County,5441,6243,36,24
Colorado,Grand County,14843,15734,109,66
Colorado,Gunnison County,15324,17462,130,70
Colorado,Hinsdale County,843,820,2,3
Colorado,Huerfano County,6711,6897,48,96
Colorado,Jackson County,1394,1392,16,10
Colorado,Jefferson County,534543,582881,5822,4599
Colorado,Kiowa County,1398,1406,18,11
Colorado,Kit Carson County,8270,7097,78,74
Colorado,Lake County,7310,8127,86,28
Colorado,La Plata County,51334,56221,472,367
Colorado,Larimer County,299630,356899,3337,2295
Colorado,Las Animas County,15507,14506,117,160
Colorado,Lincoln County,5467,5701,61,44
Colorado,Logan County,22709,22409,217,195
Colorado,Mesa County,146723,154210,1631,1515
Colorado,Mineral County,712,769,8,5
Colorado,Moffat County,13795,13283,170,81
Colorado,Montezuma County,25535,26183,263,279
Colorado,Montrose County,41276,42758,428,434
Colorado,Morgan County,28159,29068,438,240
Colorado,Otero County,18831,18278,216,235
Colorado,Ouray County,4436,4952,20,34
Colorado,Park County,16206,18845,134,117
Colorado,Phillips County,4442,4265,42,57
Colorado,Pitkin County,17148,17767,130,55
Colorado,Prowers County,12551,12172,158,115
Colorado,Pueblo County,159063,168424,1808,1834
Colorado,Rio Blanco County,6666,6324,62,43
Colorado,Rio Grande County,11982,11267,115,113
Colorado,Routt County,23509,25638,207,133
Colorado,Saguache County,6108,6824,69,59
Colorado,San Juan County,699,728,4,4
Colorado,San Miguel County,7359,8179,61,24
Colorado,Sedgwick County,2379,2248,13,32
Colorado,Summit County,27994,31011,266,69
Colorado,Teller County,23350,25388,176,198
Colorado,Washington County,4814,4908,47,48
Colorado,Weld County,252825,324492,4360,1856
Colorado,Yuma County,10043,10019,135,93
Connecticut,Connecticut,3574097,3565287,34567,31149
Connecticut,Fairfield County,916829,943332,9603,6960
Connecticut,Hartford County,894014,891720,9126,8275
Connecticut,Litchfield County,189927,180333,1382,1838
Connecticut,Middlesex County,165676,162436,1248,1552
Connecticut,New Haven County,862477,854757,8512,7887
Connecticut,New London County,274055,265206,2502,2521
Connecticut,Tolland County,152691,150721,1134,1048
Connecticut,Windham County,118428,116782,1060,1068
Delaware,Delaware,897934,973764,10683,9454
Delaware,Kent County,162310,180786,2127,1757
Delaware,New Castle County,538479,558753,6268,4916
Delaware,Sussex County,197145,234225,2288,2781
District of Columbia,District of Columbia,601723,705749,9493,5677
District of Columbia,District of Columbia,601723,705749,9493,5677
Florida,Florida,18801310,21477737,221695,211692
Florida,Alachua County,247336,269043,2775,2081
Florida,Baker County,27115,29210,322,273
Florida,Bay County,168852,174705,2222,1989
Florida,Bradford County,28520,28201,285,349
Florida,Brevard County,543376,601942,5258,7468
Florida,Broward County,1748066,1952778,21829,16032
Florida,Calhoun County,14625,14105,133,165
Florida,Charlotte County,159978,188910,1047,2841
Florida,Citrus County,141236,149657,1066,2706
Florida,Clay County,190865,219252,2183,1877
Florida,Collier County,321520,384902,3160,3867
Florida,Columbia County,67531,71686,804,863
Florida,DeSoto County,34862,38001,389,362
Florida,Dixie County,16422,16826,141,228
Florida,Duval County,864263,957755,13013,8855
Florida,Escambia County,297619,318316,3804,3536
Florida,Flagler County,95696,115081,807,1385
Florida,Franklin County,11549,12125,94,111
Florida,Gadsden County,46389,45660,520,522
Florida,Gilchrist County,16939,18582,182,206
Florida,Glades County,12884,13811,64,129
Florida,Gulf County,15863,13639,112,186
Florida,Hamilton County,14799,14428,164,129
Florida,Hardee County,27731,26937,339,193
Florida,Hendry County,39140,42022,576,356
Florida,Hernando County,172778,193920,1597,2850
Florida,Highlands County,98786,106221,854,1627
Florida,Hillsborough County,1229226,1471968,17267,11696
Florida,Holmes County,19927,19617,198,250
Florida,Indian River County,138028,159923,1283,2177
Florida,Jackson County,49746,46414,502,636
Florida,Jefferson County,14761,14246,122,146
Florida,Lafayette County,8870,8422,63,77
Florida,Lake County,297052,367118,3388,4431
Florida,Lee County,618754,770577,6760,7950
Florida,Leon County,275487,293582,2984,1945
Florida,Levy County,40801,41503,409,551
Florida,Liberty County,8365,8354,71,77
Florida,Madison County,19224,18493,177,239
Florida,Manatee County,322833,403253,3482,4334
Florida,Marion County,331298,365579,3495,5162
Florida,Martin County,146318,161000,1258,2026
